,screenName,text,favorited,favoriteCount,replyToSN,Tweet Datetime,truncated,replyToSID,id.x,replyToUID,statusSource,retweetCount,isRetweet,retweeted,longitude,latitude,description,statusesCount,followersCount,favoritesCount,friendsCount,url,name,created.y,protected,verified,location,lang,id.y,listedCount,followRequestSent,profileImageUrl,,Gender
1,___amanraj_,"What a match......
@PunjabKingsIPL won by 4 runs against @rajasthanroyals....<U+0001F44F><U+0001F44F>
Well played @klrahul11,… https://t.co/zJYP1c4tC1",FALSE,2,NA,12-04-2021 18:44,TRUE,NA,1.38168E+18,NA,Twitter for Android,0,FALSE,FALSE,NA,NA,"Follow me <U+0001F44D> 
Dream bigger <U+0001F60E>
Captivated from life, showing it here<U+0001F447>
Your limitation- it's only your imagination.
BiG Fan Of Yuvi and Akki. <U+0001F49A>",1364,35,6086,23,https://t.co/Qzr2mTDp3k,Aman Raj,03-01-2018 10:32,FALSE,FALSE,Bihar,NA,9.48502E+17,0,FALSE,http://pbs.twimg.com/profile_images/1368985278463975426/vRtu9cPc_normal.jpg,,Male
2,__bhavesh87__,"Fuckin one man army..

@IamSanjuSamson #Sanju #SanjuSamson #IPL2021 #RRvPBKS #PKvsRR https://t.co/b3EPPjS54F",FALSE,2,NA,12-04-2021 20:38,FALSE,NA,1.38171E+18,NA,Twitter Web App,1,FALSE,FALSE,NA,NA,Come on Twitter after got bored with Whatsapp & Insta<U+0001F643>,192,20,965,68,NA,Bhavesh Pradhan,17-10-2016 05:17,FALSE,FALSE,Bihar,NA,7.87885E+17,0,FALSE,http://pbs.twimg.com/profile_images/1262510719662161920/guuk3cXz_normal.jpg,,Male
3,__dattu0212__,"You Nailed It <U+2764><U+FE0F> @IamSanjuSamson 
What A Nail Bitting Thriller<U+0001F60D>
#RRvsPBKS #SanjuSamson #IPL2021",FALSE,0,NA,12-04-2021 18:59,FALSE,NA,1.38168E+18,NA,Twitter for Android,0,FALSE,FALSE,NA,NA,"A Pipkin Of Timber<U+0001F49E>

Let's HEAL Together<U+0001F4AB>",203,49,2814,58,NA,Abhinav Dadsena,11-05-2017 08:23,FALSE,FALSE,Bihar,NA,8.62584E+17,0,FALSE,http://pbs.twimg.com/profile_images/1261879665167302661/b3_C2poE_normal.jpg,,Male
4,_akkian_msdian,"Take a bow @arshdeepsinghh <U+0001F44F> did a fantabulous job in death bowling specially <U+0001F525>

#RRvsPBKS #KLRahul #SanjuSamson… https://t.co/ue3GnrB3AA",FALSE,0,NA,12-04-2021 18:50,TRUE,NA,1.38168E+18,NA,Twitter Web App,0,FALSE,FALSE,NA,NA,Family is everything.<U+0001F46A>. mapa's<U+0001F468><U+0001F469>& Diya's<U+0001F46B> lit'l princy <U+0001F470>...Give respect to Get respect<U+0001F642><U+270C>Akkian<U+0001F60E> Msdian <U+0001F60D><U+2764><U+0001F60D>Crush- mahi<U+2764><U+0001F448>,368,23,698,114,NA,Mona Singh,11-07-2019 15:30,FALSE,FALSE,Bihar,NA,1.14934E+18,0,FALSE,http://pbs.twimg.com/profile_images/1374724332866392066/x4ED692L_normal.jpg,,Male
5,_akkian_msdian,"Take a bow #DeepakHooda <U+0001F525> <U+0001F44F>

#PBKSvsRR #Hooda #IPL2021 #VivoIPL2021 #PBKSvRR @HoodaOnFire https://t.co/uiZdezGJlZ",FALSE,1,NA,12-04-2021 20:26,FALSE,NA,1.38171E+18,NA,Twitter Web App,0,FALSE,FALSE,NA,NA,Family is everything.<U+0001F46A>. mapa's<U+0001F468><U+0001F469>& Diya's<U+0001F46B> lit'l princy <U+0001F470>...Give respect to Get respect<U+0001F642><U+270C>Akkian<U+0001F60E> Msdian <U+0001F60D><U+2764><U+0001F60D>Crush- mahi<U+2764><U+0001F448>,368,23,698,114,NA,Mona Singh,11-07-2019 15:30,FALSE,FALSE,Bihar,NA,1.14934E+18,0,FALSE,http://pbs.twimg.com/profile_images/1374724332866392066/x4ED692L_normal.jpg,,Male
6,_black__jaguar_,"Reminder: Sanju Samson was dropped on 12 and 35 <U+0001F636>

#RRvPBKS | #IPL2021",FALSE,1,NA,12-04-2021 18:52,FALSE,NA,1.38168E+18,NA,Twitter for Android,0,FALSE,FALSE,NA,NA,"I’m working on my Twitter bio. Check again after ten years. <U+0001F4AB><U+0001F60E><U+0001F5A4>
#downtoearth",302,52,295,133,NA,Jay Akbari,21-06-2017 13:46,FALSE,FALSE,Bihar,NA,8.77523E+17,0,FALSE,http://pbs.twimg.com/profile_images/1377490943939543045/heabTd7x_normal.jpg,,Male
7,_kishor_kr,"I tried so hard and got so far but in the end, it doesn't even matter.
Top class SANJU SAMSON<U+0001F525>
#RRvPBKS
#IPL2021 https://t.co/25hnSpRMP9",FALSE,0,NA,12-04-2021 20:00,FALSE,NA,1.3817E+18,NA,Twitter for Android,0,FALSE,FALSE,NA,NA,"I'm the only one of my kind.
|| Sainik School Tilaiya ||  || JNU ||",289,88,1415,123,NA,Kishor Kumar,29-05-2019 16:38,FALSE,FALSE,Bihar,NA,1.13377E+18,0,FALSE,http://pbs.twimg.com/profile_images/1293839244016812033/INr7cWJd_normal.jpg,,Male
8,_kishor_kr,"Sanju samson denies chris morrris for single in 2nd last ball.
#RRvsPBKS 
#IPL2021 
*Morris be like* https://t.co/VCL24jzIb6",FALSE,0,NA,12-04-2021 20:04,FALSE,NA,1.3817E+18,NA,Twitter for Android,0,FALSE,FALSE,NA,NA,"I'm the only one of my kind.
|| Sainik School Tilaiya ||  || JNU ||",289,88,1415,123,NA,Kishor Kumar,29-05-2019 16:38,FALSE,FALSE,Bihar,NA,1.13377E+18,0,FALSE,http://pbs.twimg.com/profile_images/1293839244016812033/INr7cWJd_normal.jpg,,Male
9,_kohlify_,"Their is No comparison between A National Star &amp; A ipl star 
#ipl2021",FALSE,1,NA,12-04-2021 19:09,FALSE,NA,1.38169E+18,NA,Twitter for Android,0,FALSE,FALSE,NA,NA,"Miles To Go before i die <U+0001F918>
#DevoteeOfViratKohli #CricketLover",19094,351,96655,479,NA,Abhishek Mishra<U+0001F1EE><U+0001F1F3>,31-10-2017 22:12,FALSE,FALSE,Bihar,NA,9.25486E+17,0,FALSE,http://pbs.twimg.com/profile_images/1230756351170596864/Kr2Nl5Wa_normal.jpg,,Male
10,_MyStars11,"1<U+FE0F><U+20E3>2<U+FE0F><U+20E3> Fours 
7<U+FE0F><U+20E3> Sixes 
1<U+FE0F><U+20E3>1<U+FE0F><U+20E3>9<U+FE0F><U+20E3> Runs
3<U+FE0F><U+20E3>9<U+FE0F><U+20E3>4<U+FE0F><U+20E3> points <U+0001F525>

Sanju Samson is our MVP for tonight <U+0001F929> 

Did you select… https://t.co/XDIHGewasj",FALSE,10,NA,12-04-2021 19:12,TRUE,NA,1.38169E+18,NA,Twitter for Android,1,FALSE,FALSE,NA,NA,Jubilee My Stars 11 is the official fantasy gaming platform for HBL Pakistan Super League.,2091,55630,9038,16,https://t.co/cMZwfkmUgi,My Stars 11,01-04-2020 14:45,FALSE,FALSE,Bihar,NA,1.24536E+18,31,FALSE,http://pbs.twimg.com/profile_images/1362703265419325442/kNR4ubXN_normal.jpg,,Male
